,value,value,value
type,GetCpuUsage,GetMemUsage,GetNetworkUsage
time,,,
0.0,6.25,,
3.0,4.75,,
5.0,6.075,,4096.0
7.0,6.075,,3072.0
8.0,5.65,,3072.0
9.0,5.65,,4096.0
10.0,3.9,,3072.0
11.0,3.9,,2730.6666666666665
12.0,3.9,,2560.0
13.0,3.9,,3657.1428571428573
14.0,4.0,,3072.0
15.0,4.025,,3072.0
16.0,5.975,,3072.0
18.0,5.85,,2048.0
19.0,5.5,,2048.0
24.0,5.325,,2048.0
25.0,4.75,,2048.0
28.0,4.75,0.247812271118164,2048.0
30.0,4.25,0.247812271118164,2048.0
31.0,4.25,0.247812271118164,2048.0
32.0,4.25,0.247812271118164,2048.0
33.0,5.35,0.247812271118164,2048.0
34.0,5.35,0.247812271118164,2048.0
36.0,4.95,0.247812271118164,2048.0
38.0,4.95,0.247812271118164,2048.0
40.0,5.4,0.247812271118164,2048.0
41.0,4.85,0.247812271118164,2048.0
42.0,4.85,0.247812271118164,2048.0
46.0,5.375,0.247812271118164,2048.0
48.0,3.8,0.247812271118164,2048.0
49.0,4.275,0.247812271118164,2048.0
50.0,4.275,0.247812271118164,2048.0
52.0,4.275,0.247812271118164,2048.0
53.0,4.525,0.247812271118164,2048.0
54.0,5.15,0.247812271118164,2048.0
55.0,5.0,0.247812271118164,2048.0
56.0,5.0,0.247812271118164,2048.0
59.0,5.0,0.247812271118164,2048.0
60.0,3.6,0.247812271118164,2048.0
61.0,5.425,0.247812271118164,2048.0
62.0,5.425,0.247812271118164,2048.0
66.0,5.425,0.247812271118164,2048.0
70.0,5.425,0.247812271118164,2048.0
72.0,5.425,0.247812271118164,2048.0
73.0,5.425,0.247812271118164,2048.0
74.0,5.425,0.247812271118164,2048.0
78.0,5.425,0.247812271118164,2048.0
80.0,5.425,0.2473354339599609,2048.0
82.0,5.425,0.2477169036865234,2048.0
86.0,5.425,0.2476692199707031,2048.0
87.0,5.425,0.2476692199707031,2048.0
89.0,5.425,0.2476692199707031,2048.0
